,id,lat,lon,time
94684,81828,8.976333333333335,58.027916666666684,2011-07-02
94829,37194,7.740777777777778,53.80177777777778,2011-07-11
94831,37213,5.257,48.807,2011-07-11
94832,37214,12.633374999999996,52.559625,2011-07-11
94834,39204,12.496352941176468,52.40088235294118,2011-07-11
94942,81824,5.241,59.751000000000005,2011-07-11
94943,81828,7.758638888888886,60.321194444444444,2011-07-11
94950,88651,9.368000000000002,52.33299999999999,2011-07-11
94952,88659,6.897272727272727,50.538000000000004,2011-07-11
94953,88671,6.466142857142857,49.611000000000004,2011-07-11
95088,37194,7.835555555555554,56.52308333333334,2011-07-20
95090,37213,7.017972222222223,54.57433333333333,2011-07-20
95091,37214,13.484617647058823,56.13117647058823,2011-07-20
95093,39204,13.518722222222223,55.99447222222223,2011-07-20
95201,81824,5.9321290322580635,60.9961935483871,2011-07-20
95202,81828,8.405361111111112,61.27944444444443,2011-07-20
95209,88651,11.678861111111111,52.49925,2011-07-20
95210,88652,7.370592592592594,52.186592592592596,2011-07-20
95211,88659,6.979769230769231,54.87823076923077,2011-07-20
95212,88671,7.286777777777776,55.40613888888889,2011-07-20
95347,37194,11.492138888888888,53.013361111111124,2011-07-29
95349,37213,6.410222222222221,55.49047222222223,2011-07-29
95352,39204,14.45852777777778,59.23605555555556,2011-07-29
95460,81824,5.699812499999999,61.81025,2011-07-29
95461,81828,9.310499999999998,61.786416666666646,2011-07-29
95468,88651,13.307972222222222,55.85216666666666,2011-07-29
95469,88652,6.24275,55.72635714285715,2011-07-29
95471,88671,6.506499999999999,55.39022222222223,2011-07-29
95606,37194,14.29508333333333,53.91261111111111,2011-08-07
95608,37213,6.73190909090909,54.727363636363634,2011-08-07
95611,39204,14.525722222222221,61.68197222222222,2011-08-07
95719,81824,5.906322580645161,62.38016129032259,2011-08-07
95720,81828,8.021777777777778,63.13200000000001,2011-08-07
95727,88651,13.754027777777779,58.583166666666656,2011-08-07
95728,88652,5.932806451612902,54.22409677419355,2011-08-07
95729,88659,5.1419999999999995,50.153999999999996,2011-08-07
95730,88671,5.987555555555555,54.26251851851852,2011-08-07
95865,37194,16.506479999999996,57.29120000000001,2011-08-16
95870,39204,14.904083333333334,63.265027777777796,2011-08-16
95871,40084,5.3265,49.827,2011-08-16
95978,81824,7.342083333333333,64.2401388888889,2011-08-16
95979,81828,8.054249999999996,64.2456111111111,2011-08-16
95986,88651,11.096361111111113,61.611777777777775,2011-08-16
95987,88652,6.883388888888889,52.05111111111111,2011-08-16
95989,88671,6.412805555555556,52.23075,2011-08-16
96123,37192,8.000499999999999,51.9673125,2011-08-25
96125,37200,6.428571428571429,49.239,2011-08-25
96129,39204,14.629583333333333,63.842999999999996,2011-08-25
